from_node_id,to_node_id,day_no,start_time_in_min,end_time_in_min,sensor_type,direction,link_count,occupancy,travel_time,avg_speed
15426,15448,1,60,120,link_count,1,524,,,
15426,15448,1,120,180,link_count,1,521,,,
15426,15448,1,180,240,link_count,1,823,,,
15426,15448,1,240,300,link_count,1,1945,,,
15426,15448,1,300,360,link_count,1,5333,,,
15426,15448,1,360,420,link_count,1,7282,,,
15426,15448,1,420,480,link_count,1,6769,,,
15426,15448,1,480,540,link_count,1,6432,,,
15426,15448,1,540,600,link_count,1,6813,,,
15426,15448,1,600,660,link_count,1,5931,,,
15426,15448,1,660,720,link_count,1,5775,,,
15426,15448,1,720,780,link_count,1,5991,,,
15426,15448,1,780,840,link_count,1,5933,,,
15426,15448,1,840,900,link_count,1,6915,,,
15426,15448,1,900,960,link_count,1,7363,,,
15426,15448,1,960,1020,link_count,1,7262,,,
15426,15448,1,1020,1080,link_count,1,7399,,,
15426,15448,1,1080,1140,link_count,1,6964,,,
15426,15448,1,1140,1200,link_count,1,4744,,,
15426,15448,1,1200,1260,link_count,1,3980,,,
15426,15448,1,1260,1320,link_count,1,3408,,,
15426,15448,1,1320,1380,link_count,1,2378,,,
15426,15448,1,1380,1440,link_count,1,1359,,,
15420,15498,1,0,60,link_count,1,1128,,,
15420,15498,1,60,120,link_count,1,842,,,
15420,15498,1,120,180,link_count,1,706,,,
15420,15498,1,180,240,link_count,1,670,,,
15420,15498,1,240,300,link_count,1,1067,,,
15420,15498,1,300,360,link_count,1,2448,,,
15420,15498,1,360,420,link_count,1,4884,,,
15420,15498,1,420,480,link_count,1,6779,,,
15420,15498,1,480,540,link_count,1,6606,,,
15420,15498,1,540,600,link_count,1,5473,,,
15420,15498,1,600,660,link_count,1,5172,,,
15420,15498,1,660,720,link_count,1,5321,,,
15420,15498,1,720,780,link_count,1,5484,,,
15420,15498,1,780,840,link_count,1,5669,,,
15420,15498,1,840,900,link_count,1,6427,,,
15420,15498,1,900,960,link_count,1,6597,,,
15420,15498,1,960,1020,link_count,1,6716,,,
15420,15498,1,1020,1080,link_count,1,6750,,,
15420,15498,1,1080,1140,link_count,1,6552,,,
15420,15498,1,1140,1200,link_count,1,5411,,,
15420,15498,1,1200,1260,link_count,1,4550,,,
15420,15498,1,1260,1320,link_count,1,4088,,,
15420,15498,1,1320,1380,link_count,1,3277,,,
15420,15498,1,1380,1440,link_count,1,2380,,,
15497,15424,1,0,60,link_count,1,812,,,
15497,15424,1,60,120,link_count,1,532,,,
15497,15424,1,120,180,link_count,1,553,,,
15497,15424,1,180,240,link_count,1,780,,,
15497,15424,1,240,300,link_count,1,1972,,,
15497,15424,1,300,360,link_count,1,4685,,,
15497,15424,1,360,420,link_count,1,6252,,,
15497,15424,1,420,480,link_count,1,5800,,,
15497,15424,1,480,540,link_count,1,5713,,,
15497,15424,1,540,600,link_count,1,5734,,,
15497,15424,1,600,660,link_count,1,5274,,,
15497,15424,1,660,720,link_count,1,5706,,,
15497,15424,1,720,780,link_count,1,5564,,,
15497,15424,1,780,840,link_count,1,5663,,,
15497,15424,1,840,900,link_count,1,6155,,,
15497,15424,1,900,960,link_count,1,6282,,,
15497,15424,1,960,1020,link_count,1,6417,,,
15497,15424,1,1020,1080,link_count,1,6383,,,
15497,15424,1,1080,1140,link_count,1,5829,,,
15497,15424,1,1140,1200,link_count,1,4326,,,
15497,15424,1,1200,1260,link_count,1,3728,,,
15497,15424,1,1260,1320,link_count,1,3164,,,
15497,15424,1,1320,1380,link_count,1,2490,,,
15497,15424,1,1380,1440,link_count,1,1675,,,
15576,15422,1,0,60,link_count,1,1168,,,
15576,15422,1,60,120,link_count,1,697,,,
15576,15422,1,120,180,link_count,1,543,,,
15576,15422,1,180,240,link_count,1,526,,,
15576,15422,1,240,300,link_count,1,788,,,
15576,15422,1,300,360,link_count,1,2031,,,
15576,15422,1,360,420,link_count,1,4232,,,
15576,15422,1,420,480,link_count,1,6679,,,
15576,15422,1,480,540,link_count,1,5997,,,
15576,15422,1,540,600,link_count,1,4743,,,
15576,15422,1,600,660,link_count,1,4536,,,
15576,15422,1,660,720,link_count,1,4629,,,
15576,15422,1,720,780,link_count,1,4933,,,
15576,15422,1,780,840,link_count,1,4874,,,
15576,15422,1,840,900,link_count,1,5906,,,
15576,15422,1,900,960,link_count,1,6220,,,
15576,15422,1,960,1020,link_count,1,6223,,,
15576,15422,1,1020,1080,link_count,1,6305,,,
15576,15422,1,1080,1140,link_count,1,5668,,,
15576,15422,1,1140,1200,link_count,1,5082,,,
15576,15422,1,1200,1260,link_count,1,3983,,,
15576,15422,1,1260,1320,link_count,1,3613,,,
15576,15422,1,1320,1380,link_count,1,2669,,,
15576,15422,1,1380,1440,link_count,1,1966,,,
15421,15575,1,0,60,link_count,1,675,,,
15421,15575,1,60,120,link_count,1,468,,,
15421,15575,1,120,180,link_count,1,498,,,
15421,15575,1,180,240,link_count,1,758,,,
15421,15575,1,240,300,link_count,1,1846,,,
15421,15575,1,300,360,link_count,1,4850,,,
15421,15575,1,360,420,link_count,1,6466,,,
15421,15575,1,420,480,link_count,1,6088,,,
15421,15575,1,480,540,link_count,1,5808,,,
15421,15575,1,540,600,link_count,1,5239,,,
15421,15575,1,600,660,link_count,1,4687,,,
15421,15575,1,660,720,link_count,1,5296,,,
15421,15575,1,720,780,link_count,1,5273,,,
15421,15575,1,780,840,link_count,1,5247,,,
15421,15575,1,840,900,link_count,1,5754,,,
15421,15575,1,900,960,link_count,1,5767,,,
15421,15575,1,960,1020,link_count,1,6029,,,
15421,15575,1,1020,1080,link_count,1,6109,,,
15421,15575,1,1080,1140,link_count,1,5376,,,
15421,15575,1,1140,1200,link_count,1,3744,,,
15421,15575,1,1200,1260,link_count,1,3206,,,
15421,15575,1,1260,1320,link_count,1,2881,,,
15421,15575,1,1320,1380,link_count,1,2126,,,
15421,15575,1,1380,1440,link_count,1,1241,,,
15532,15584,1,0,60,link_count,1,1306,,,
15532,15584,1,60,120,link_count,1,738,,,
15532,15584,1,120,180,link_count,1,591,,,
15532,15584,1,180,240,link_count,1,561,,,
15532,15584,1,240,300,link_count,1,831,,,
15532,15584,1,300,360,link_count,1,2130,,,
15532,15584,1,360,420,link_count,1,4568,,,
15532,15584,1,420,480,link_count,1,7144,,,
15532,15584,1,480,540,link_count,1,6078,,,
15532,15584,1,540,600,link_count,1,4555,,,
15532,15584,1,600,660,link_count,1,4262,,,
15532,15584,1,660,720,link_count,1,4253,,,
15532,15584,1,720,780,link_count,1,4377,,,
15532,15584,1,780,840,link_count,1,4541,,,
15532,15584,1,840,900,link_count,1,4819,,,
15532,15584,1,900,960,link_count,1,6535,,,
15532,15584,1,960,1020,link_count,1,6627,,,
15532,15584,1,1020,1080,link_count,1,6524,,,
15532,15584,1,1080,1140,link_count,1,6468,,,
15532,15584,1,1140,1200,link_count,1,5372,,,
